Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Codeshare,Stops,Equipment,Distance
2B,410,AER,2965,KZN,2990,,0,CR2,1506.8256044589284
2B,410,ASF,2966,KZN,2990,,0,CR2,1040.4383197669076
2B,410,ASF,2966,MRV,2962,,0,CR2,448.1649087095456
2B,410,CEK,2968,KZN,2990,,0,CR2,770.5085001497806
2B,410,CEK,2968,OVB,4078,,0,CR2,1338.6314665862067
2B,410,DME,4029,KZN,2990,,0,CR2,715.6493504840489
2B,410,DME,4029,NBC,6969,,0,CR2,892.3827877543463
2B,410,DME,4029,TGK,\N,,0,CR2,
2B,410,DME,4029,UUA,6160,,0,CR2,951.4321982829726
2B,410,EGO,6156,KGD,2952,,0,CR2,1171.881495283767
2B,410,EGO,6156,KZN,2990,,0,CR2,1008.253110089581
2B,410,GYD,2922,NBC,6969,,0,CR2,1685.4265243719838
2B,410,KGD,2952,EGO,6156,,0,CR2,1171.881495283767
2B,410,KZN,2990,AER,2965,,0,CR2,1506.8256044589284
2B,410,KZN,2990,ASF,2966,,0,CR2,1040.4383197669076
2B,410,KZN,2990,CEK,2968,,0,CR2,770.5085001497806
2B,410,KZN,2990,DME,4029,,0,CR2,715.6493504840489
2B,410,KZN,2990,EGO,6156,,0,CR2,1008.253110089581
2B,410,KZN,2990,LED,2948,,0,CR2,1216.8445674824823
2B,410,KZN,2990,SVX,2975,,0,CR2,723.5232035200229
2B,410,LED,2948,KZN,2990,,0,CR2,1216.8445674824823
2B,410,LED,2948,NBC,6969,,0,CR2,1372.8864143629526
2B,410,LED,2948,UUA,6160,,0,CR2,1464.0569350725689
2B,410,MRV,2962,ASF,2966,,0,CR2,448.1649087095456
2B,410,NBC,6969,DME,4029,,0,CR2,892.3827877543463
2B,410,NBC,6969,GYD,2922,,0,CR2,1685.4265243719838
2B,410,NBC,6969,LED,2948,,0,CR2,1372.8864143629526
2B,410,NBC,6969,SVX,2975,,0,CR2,554.7033596624188
2B,410,NJC,2972,SVX,2975,,0,CR2,1012.6027135761166
2B,410,NJC,2972,UUA,6160,,0,CR2,1557.1718220176435
2B,410,NUX,4364,SVX,2975,,0,CR2,1324.6117527543265
2B,410,OVB,4078,CEK,2968,,0,CR2,1338.6314665862067
2B,410,OVB,4078,SVX,2975,,0,CR2,1370.2972586323822
2B,410,SVX,2975,KZN,2990,,0,CR2,723.5232035200229
2B,410,SVX,2975,NBC,6969,,0,CR2,554.7033596624188
2B,410,SVX,2975,NJC,2972,,0,CR2,1012.6027135761166
2B,410,SVX,2975,NUX,4364,,0,CR2,1324.6117527543265
2B,410,SVX,2975,OVB,4078,,0,CR2,1370.2972586323822
2B,410,TGK,\N,DME,4029,,0,CR2,
2B,410,UUA,6160,DME,4029,,0,CR2,951.4321982829726
2B,410,UUA,6160,LED,2948,,0,CR2,1464.0569350725689
2B,410,UUA,6160,NJC,2972,,0,CR2,1557.1718220176435
2G,1654,BTK,2936,IKT,2937,,0,A81,488.33962159397606
2G,1654,BTK,2936,OVB,4078,,0,A81,1199.3591559200313
2G,1654,CEK,2968,OVB,4078,,0,A81,1338.6314665862067
2G,1654,HTA,2935,IKT,2937,,0,AN4,608.6430610264201
2G,1654,IKT,2937,BTK,2936,,0,A81,488.33962159397606
2G,1654,IKT,2937,HTA,2935,,0,AN4,608.6430610264201
2G,1654,IKT,2937,KCK,\N,,0,AN4,
2G,1654,IKT,2937,ODO,8944,,0,AN4,882.1865409507236
2G,1654,IKT,2937,OVB,4078,,0,A81,1458.8243099590638
2G,1654,IKT,2937,UKX,6924,,0,AN4,517.4862726798777
2G,1654,IKT,2937,ULK,9026,,0,AN4,1134.5379651044466
2G,1654,IKT,2937,YKS,2923,,0,A81,1860.0151515722391
2G,1654,KCK,\N,IKT,2937,,0,AN4,
2G,1654,MJZ,2925,OVB,4078,,0,A81,1967.487894489541
2G,1654,ODO,8944,IKT,2937,,0,AN4,882.1865409507236
2G,1654,OVB,4078,BTK,2936,,0,A81,1199.3591559200313
2G,1654,OVB,4078,CEK,2968,,0,A81,1338.6314665862067
2G,1654,OVB,4078,IKT,2937,,0,A81,1458.8243099590638
2G,1654,UKX,6924,IKT,2937,,0,AN4,517.4862726798777
2G,1654,ULK,9026,IKT,2937,,0,AN4,1134.5379651044466
2G,1654,YKS,2923,IKT,2937,,0,A81,1860.0151515722391
2I,8359,AYP,2786,LIM,2789,,0,142,339.98061047078085
2I,8359,CUZ,2812,LIM,2789,,0,142 141,585.9080251433817
2I,8359,CUZ,2812,PEM,2808,,0,142,310.93457050255205
2I,8359,HUU,6067,LIM,2789,,0,141,258.1561031529864
2I,8359,IQT,2801,PCL,2781,,0,143,529.5509843237759
2I,8359,IQT,2801,TPP,2806,,0,142,454.858441396253
2I,8359,LIM,2789,AYP,2786,,0,142,339.98061047078085
2I,8359,LIM,2789,CUZ,2812,,0,142 141,585.9080251433817
2I,8359,LIM,2789,HUU,6067,,0,141,258.1561031529864
2I,8359,LIM,2789,PCL,2781,,0,143 146,491.3431736689258
2I,8359,LIM,2789,TPP,2806,,0,142 146,618.4026366573573
2I,8359,PCL,2781,IQT,2801,,0,143,529.5509843237759
2I,8359,PCL,2781,LIM,2789,,0,143 146,491.3431736689258
2I,8359,PCL,2781,TPP,2806,,0,146,287.2905683905184
2I,8359,PEM,2808,CUZ,2812,,0,142,310.93457050255205
2I,8359,TPP,2806,IQT,2801,,0,142,454.858441396253
2I,8359,TPP,2806,LIM,2789,,0,142 146,618.4026366573573
2I,8359,TPP,2806,PCL,2781,,0,146,287.2905683905184
2J,470,ABJ,253,BOY,247,,0,CRJ,657.4155142026553
2J,470,ABJ,253,OUA,246,,0,E70 CRJ M87,831.9292485492954
